"estacion_id","estacion","lat","lon"
"11","Estación Independencia","-33.42226117034207","-70.65113919456026"
"12","Estación La Florida","-33.51666686642848","-70.5881606008781"
"13","Estación Las Condes","-33.37677603378226","-70.52325659014379"
"14","Estación Parque O'Higgins","-33.464176485014654","-70.6607028634304"
"15","Estación Pudahuel","-33.437785332393624","-70.75014475592326"
"17","Estación El Bosque","-33.547015998707174","-70.66616343420935"
"18","Estación Cerro Navia","-33.4330703790368","-70.732055741265"
"27","Estación Puente Alto","-33.591356223390406","-70.59443117962212"
"28","Estación Talagante","-33.67381927488796","-70.95299707659184"
"30","Estación QUILICURA ","-33.3496312716616","-70.72384640672377"
"31","Estación Cerrillos","-33.49578051554566","-70.7042099444634"
